[ 0.58527295  0.41472705] 0.0
[ 0.56481403  0.43518597] 1.0
[ 0.62103799  0.37896201] 0.0
[ 0.41262452  0.58737548] 1.0
[ 0.57190814  0.42809186] 0.0
[ 0.3885357  0.6114643] 1.0
[ 0.54302126  0.45697874] 1.0
[ 0.53264466  0.46735534] 0.0
[ 0.65871389  0.34128611] 0.0
[ 0.58900674  0.41099326] 1.0
[ 0.54183044  0.45816956] 1.0
[ 0.51869132  0.48130868] 0.0
[ 0.47934623  0.52065377] 0.0
[ 0.61392542  0.38607458] 0.0
[ 0.64769703  0.35230297] 1.0
[ 0.57169033  0.42830967] 0.0
[ 0.55057372  0.44942628] 0.0
[ 0.60327607  0.39672393] 0.0
[ 0.49975428  0.50024572] 1.0
[ 0.59002162  0.40997838] 1.0
[ 0.49357189  0.50642811] 1.0
[ 0.41306273  0.58693727] 0.0
[ 0.63560669  0.36439331] 0.0
[ 0.69590445  0.30409555] 0.0
[ 0.60153674  0.39846326] 0.0
[ 0.49074079  0.50925921] 0.0
[ 0.56683457  0.43316543] 1.0
[ 0.56973226  0.43026774] 0.0
[ 0.61738658  0.38261342] 1.0
[ 0.70221687  0.29778313] 1.0
[ 0.61187744  0.38812256] 0.0
[ 0.40491174  0.59508826] 1.0
[ 0.59615816  0.40384184] 1.0
[ 0.45748785  0.54251215] 0.0
[ 0.41855385  0.58144615] 1.0
[ 0.40142115  0.59857885] 0.0
[ 0.41019946  0.58980054] 1.0
[ 0.57637618  0.42362382] 1.0
[ 0.43030182  0.56969818] 0.0
[ 0.4437972  0.5562028] 0.0
[ 0.464145  0.535855] 0.0
[ 0.63185691  0.36814309] 0.0
[ 0.6666187  0.3333813] 0.0
[ 0.61663352  0.38336648] 1.0
[ 0.39538847  0.60461153] 1.0
[ 0.42597107  0.57402893] 1.0
[ 0.54665018  0.45334982] 0.0
[ 0.46203984  0.53796016] 1.0
[ 0.39743033  0.60256967] 0.0
[ 0.47256915  0.52743085] 0.0
[ 0.57643584  0.42356416] 1.0
[ 0.66539822  0.33460178] 0.0
[ 0.390495  0.609505] 1.0
[ 0.42052203  0.57947797] 1.0
[ 0.67257804  0.32742196] 1.0
[ 0.38878542  0.61121458] 1.0
[ 0.48302955  0.51697045] 0.0
[ 0.6879525  0.3120475] 0.0
[ 0.63956973  0.36043027] 1.0
[ 0.45889568  0.54110432] 0.0
[ 0.54542792  0.45457208] 0.0
[ 0.52966822  0.47033178] 0.0
[ 0.55725317  0.44274683] 1.0
[ 0.56415928  0.43584072] 0.0
[ 0.63125782  0.36874218] 0.0
[ 0.37899017  0.62100983] 0.0
[ 0.59255895  0.40744105] 1.0
[ 0.58884892  0.41115108] 1.0
[ 0.58368354  0.41631646] 1.0
[ 0.57463246  0.42536754] 1.0
[ 0.57393744  0.42606256] 1.0
[ 0.59562218  0.40437782] 1.0
[ 0.51973001  0.48026999] 0.0
[ 0.55591485  0.44408515] 0.0
[ 0.65412687  0.34587313] 1.0
[ 0.61132146  0.38867854] 1.0
[ 0.66902991  0.33097009] 0.0
[ 0.57723005  0.42276995] 1.0
[ 0.4406738  0.5593262] 0.0
[ 0.55652545  0.44347455] 0.0
[ 0.39051766  0.60948234] 1.0
[ 0.57755865  0.42244135] 1.0
[ 0.57058352  0.42941648] 0.0
[ 0.63526638  0.36473362] 0.0
[ 0.6246511  0.3753489] 0.0
[ 0.50045241  0.49954759] 0.0
[ 0.58170411  0.41829589] 0.0
[ 0.60095825  0.39904175] 1.0
[ 0.51396441  0.48603559] 0.0
[ 0.48116146  0.51883854] 0.0
[ 0.62411708  0.37588292] 0.0
[ 0.40350627  0.59649373] 0.0
[ 0.40260609  0.59739391] 0.0
[ 0.40375926  0.59624074] 0.0
[ 0.43033509  0.56966491] 1.0
[ 0.41357243  0.58642757] 1.0
[ 0.59154337  0.40845663] 0.0
[ 0.57854308  0.42145692] 1.0
[ 0.40805748  0.59194252] 1.0
[ 0.42173136  0.57826864] 1.0
[ 0.70101352  0.29898648] 1.0
[ 0.57538331  0.42461669] 1.0
[ 0.59796992  0.40203008] 1.0
[ 0.56711406  0.43288594] 0.0
[ 0.61188227  0.38811773] 0.0
[ 0.49944514  0.50055486] 0.0
[ 0.52627502  0.47372498] 1.0
[ 0.63625541  0.36374459] 0.0
[ 0.61337798  0.38662202] 0.0
[ 0.42284059  0.57715941] 0.0
[ 0.52318689  0.47681311] 0.0
[ 0.44396003  0.55603997] 0.0
[ 0.41513319  0.58486681] 1.0
[ 0.46314915  0.53685085] 1.0
[ 0.43496824  0.56503176] 0.0
[ 0.39621284  0.60378716] 0.0
[ 0.42681418  0.57318582] 1.0
[ 0.56260321  0.43739679] 1.0
[ 0.55243295  0.44756705] 1.0
[ 0.59958187  0.40041813] 0.0
[ 0.6727053  0.3272947] 0.0
[ 0.6167665  0.3832335] 1.0
[ 0.40520735  0.59479265] 0.0
[ 0.42290053  0.57709947] 0.0
[ 0.60588958  0.39411042] 0.0
[ 0.48353655  0.51646345] 0.0
[ 0.41764626  0.58235374] 1.0
[ 0.63849029  0.36150971] 1.0
[ 0.39717866  0.60282134] 1.0
[ 0.40697142  0.59302858] 1.0
[ 0.40477172  0.59522828] 0.0
